iter	Passed	Remaining
825	11432	2408
826	11445	2394
827	11457	2380
828	11471	2366
829	11483	2352
830	11495	2337
831	11508	2323
832	11521	2309
833	11536	2296
834	11549	2282
835	11562	2268
836	11575	2254
837	11587	2240
838	11601	2226
839	11612	2211
840	11623	2197
841	11635	2183
842	11652	2170
843	11665	2156
844	11677	2141
845	11689	2127
846	11703	2114
847	11717	2100
848	11730	2086
849	11742	2072
850	11755	2058
851	11767	2044
852	11780	2030
853	11793	2016
854	11806	2002
855	11820	1988
856	11833	1974
857	11845	1960
858	11859	1946
859	11871	1932
860	11884	1918
861	11896	1904
862	11909	1890
863	11923	1876
864	11936	1862
865	11948	1848
866	11960	1834
867	11972	1820
868	11986	1807
869	12000	1793
870	12012	1779
871	12025	1765
872	12037	1751
873	12048	1737
874	12061	1723
875	12075	1709
876	12087	1695
877	12100	1681
878	12112	1667
879	12124	1653
880	12137	1639
881	12150	1625
882	12163	1611
883	12175	1597
884	12188	1583
885	12201	1569
886	12215	1556
887	12226	1542
888	12239	1528
889	12251	1514
890	12265	1500
891	12278	1486
892	12292	1472
893	12305	1459
894	12318	1445
895	12329	1431
896	12341	1417
897	12352	1403
898	12366	1389
899	12379	1375
900	12393	1361
901	12407	1348
902	12420	1334
903	12433	1320
904	12446	1306
905	12458	1292
906	12470	1278
907	12483	1264
908	12494	1250
909	12506	1236
910	12519	1223
911	12534	1209
912	12547	1195
913	12562	1182
914	12574	1168
915	12588	1154
916	12600	1140
917	12613	1126
918	12625	1112
919	12639	1099
920	12653	1085
921	12665	1071
922	12677	1057
923	12689	1043
924	12703	1030
925	12716	1016
926	12729	1002
927	12741	988
928	12752	974
929	12766	960
930	12779	947
931	12791	933
932	12804	919
933	12814	905
934	12826	891
935	12841	878
936	12854	864
937	12867	850
938	12881	836
939	12893	822
940	12907	809
941	12922	795
942	12935	781
943	12948	768
944	12963	754
945	12976	740
946	12989	726
947	13003	713
948	13016	699
949	13029	685
950	13042	671
951	13056	658
952	13068	644
953	13082	630
954	13097	617
955	13112	603
956	13127	589
957	13139	576
958	13153	562
959	13166	548
960	13179	534
961	13191	521
962	13204	507
963	13217	493
964	13230	479
965	13243	466
966	13255	452
967	13267	438
968	13280	424
969	13292	411
970	13307	397
971	13319	383
972	13333	369
973	13346	356
974	13357	342
975	13369	328
976	13381	315
977	13393	301
978	13406	287
979	13419	273
980	13433	260
981	13446	246
982	13459	232
983	13472	219
984	13485	205
985	13498	191
986	13511	177
987	13523	164
988	13536	150
989	13549	136
990	13561	123
991	13574	109
992	13587	95
993	13600	82
994	13613	68
995	13625	54
996	13640	41
997	13652	27
998	13666	13
999	13679	0
